iter	Passed	Remaining
0	0	77
1	1	71
2	2	67
3	2	62
4	3	61
5	3	60
6	4	61
7	5	61
8	5	60
9	6	59
10	7	59
11	8	59
12	8	59
13	9	58
14	10	58
15	10	57
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	51
22	15	51
23	15	50
24	16	49
25	17	48
26	17	47
27	18	47
28	19	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	25	38
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	29	33
47	30	33
48	31	32
49	31	31
50	32	31
51	32	30
52	33	29
53	34	29
54	34	28
55	35	27
56	35	26
57	36	26
58	37	25
59	37	25
60	38	24
61	38	23
62	39	23
63	40	22
64	40	22
65	41	21
66	42	20
67	42	20
68	43	19
69	44	18
70	44	18
71	45	17
72	45	16
73	46	16
74	47	15
75	47	15
76	48	14
77	48	13
78	49	13
79	50	12
80	50	11
81	51	11
82	51	10
83	52	10
84	53	9
85	53	8
86	54	8
87	55	7
88	56	6
89	56	6
90	58	5
91	58	5
92	59	4
93	60	3
94	60	3
95	61	2
96	61	1
97	62	1
98	63	0
99	63	0
